time_category,is_weekend,is_payday,caption_length,hashtag_count,is_question,is_hard_selling,has_cta,type_encoded,is_success
3,1,0,539,9,1,1,1,0,0
1,0,0,900,12,1,1,1,0,0
3,0,0,923,12,1,1,1,1,0
0,0,0,923,12,1,1,1,0,0
3,1,0,475,13,0,1,1,1,0
1,1,0,546,9,1,1,1,0,0
0,0,0,589,11,1,1,1,0,0
1,0,1,521,9,1,1,1,0,0
0,0,0,472,13,0,1,1,1,0
0,0,1,552,9,1,1,1,1,0
0,0,1,431,10,0,1,1,0,0
0,1,1,423,10,0,1,1,0,0
3,0,0,520,9,1,1,1,0,0
1,0,1,666,14,0,0,0,1,0
0,0,0,609,11,1,1,1,0,0
0,0,0,1128,30,0,1,1,1,0
0,1,0,1048,29,0,1,1,1,0
0,0,0,585,9,1,1,1,0,0
0,0,0,1349,9,0,1,1,0,0
0,0,0,745,11,1,1,1,1,0
1,1,0,1340,16,0,0,1,0,0
0,0,0,1048,29,0,1,1,0,0
1,0,0,843,30,0,1,1,0,0
0,1,1,1024,25,0,1,1,1,0
0,0,0,526,8,0,0,1,1,0
0,1,1,594,14,0,1,1,0,0
0,1,1,839,30,1,1,1,0,1
3,0,0,1096,30,0,1,1,0,0
3,0,0,564,5,0,1,1,0,1
1,0,0,1439,15,0,1,1,0,0
0,1,1,1014,30,0,1,1,0,0
3,0,0,605,5,0,1,1,1,1
0,0,1,551,5,0,1,1,0,0
0,0,0,632,24,0,1,1,0,1
0,1,0,558,5,0,1,1,0,1
0,1,1,853,31,1,1,1,1,0
0,0,1,680,17,1,1,1,0,0
0,0,1,646,14,0,0,0,1,0
0,0,1,1144,9,0,1,1,0,0
3,0,0,587,14,0,1,1,0,0
3,1,0,1008,30,0,1,1,0,0
0,0,0,535,5,0,1,1,1,0
3,0,0,832,30,1,1,1,0,0
0,0,0,984,31,0,1,1,0,0
0,0,0,725,14,1,1,1,0,0
3,0,0,834,30,0,1,1,1,0
3,0,0,860,9,0,1,1,0,0
0,0,0,841,31,0,1,1,0,0
0,0,1,831,26,1,1,1,0,0
1,0,1,728,32,0,1,1,0,0
3,0,1,886,27,1,1,1,1,0
3,0,1,852,30,0,1,1,0,0
3,0,0,848,31,1,1,1,0,0
3,0,1,867,30,1,1,1,1,0
1,0,1,611,11,0,1,1,0,0
0,0,0,860,30,1,1,1,0,0
3,0,0,861,30,1,1,1,1,0
0,1,1,865,31,1,1,1,0,0
0,1,1,695,17,1,1,1,1,0
3,0,1,843,30,0,1,1,0,0
3,1,0,844,31,1,1,1,0,0
0,0,0,877,30,1,1,1,1,0
3,1,0,1193,13,0,1,1,0,0
0,1,1,844,31,1,1,1,0,0
3,0,1,893,32,0,1,1,0,0
0,0,0,784,32,0,1,1,0,0
0,0,1,1028,31,1,1,1,0,0
0,0,0,736,17,1,1,1,0,0
1,0,1,1493,16,0,1,1,0,0
3,1,1,953,30,1,1,1,0,0
3,0,1,1055,31,1,1,1,0,0
0,0,0,1167,31,1,1,1,0,0
0,0,1,876,31,1,1,1,0,0
0,1,1,912,33,0,1,1,1,0
3,0,0,1028,31,1,1,1,1,0
1,0,1,713,14,0,0,0,1,0
0,0,1,741,31,0,1,1,0,0
0,0,0,1284,7,0,1,1,0,0
0,1,1,1576,12,0,1,1,0,0
0,0,0,856,31,0,1,1,0,0
0,0,0,958,30,0,1,1,0,0
3,0,0,843,30,0,1,1,0,0
3,1,0,616,31,0,1,1,0,0
0,1,0,869,31,0,1,1,0,0
0,0,0,743,31,0,1,1,0,0
0,0,0,937,31,0,1,1,0,0
0,0,1,1313,13,0,1,1,0,0
0,0,0,751,31,1,1,1,0,0
3,1,1,813,30,0,1,1,0,0
0,0,0,1038,32,0,1,1,0,0
0,0,1,733,21,1,1,1,0,0
3,0,1,689,26,1,1,1,0,0
3,1,1,1054,33,1,1,1,0,0
3,0,1,748,28,1,1,1,0,0
0,0,1,984,29,0,1,1,1,0
0,0,0,715,24,1,1,1,0,0
0,1,0,904,28,0,1,1,0,0
3,1,0,800,30,0,1,1,0,0
0,0,0,829,23,0,1,1,0,0
3,0,0,892,25,0,1,1,0,0
0,0,0,734,23,1,1,1,0,0
0,0,0,849,30,1,1,1,1,0
0,0,0,803,28,0,1,1,1,0
3,0,1,1017,23,1,1,1,0,0
0,0,0,814,30,1,1,1,1,0
0,0,0,1027,28,1,1,1,0,0
3,1,1,1141,28,0,1,1,0,0
3,1,1,1077,28,1,1,1,0,1
3,0,0,822,31,1,1,1,0,0
0,0,0,999,25,0,1,1,0,0
0,0,1,772,31,0,1,1,1,1
3,1,0,957,28,0,1,1,0,1
3,0,1,814,24,0,1,1,0,1
0,0,0,769,20,1,1,1,0,1
0,0,0,740,17,0,1,1,0,1
0,0,0,923,28,0,1,1,1,1
3,0,1,1038,27,1,1,1,1,1
3,0,0,847,25,0,1,1,0,1
3,0,1,1135,30,1,1,1,0,1
3,0,0,949,27,1,1,1,0,1
0,0,0,798,24,0,1,1,0,1
0,0,0,691,24,1,1,1,0,1
3,0,0,975,31,0,1,1,1,1
3,0,0,884,26,0,1,1,0,1
3,1,0,874,28,0,1,1,0,1
0,0,0,1274,4,0,1,1,1,1
3,0,0,1016,31,1,1,1,1,1
0,0,1,886,28,0,1,1,0,1
3,0,1,796,25,0,1,1,1,1
0,0,0,681,21,1,1,1,0,1
3,1,1,799,24,0,1,1,0,1
3,0,1,853,24,0,1,1,0,1
3,0,1,868,26,1,1,1,1,0
0,0,0,780,0,1,0,1,1,1
3,1,0,943,30,0,1,1,0,1
0,0,1,713,24,1,1,1,0,0
0,0,0,1038,28,0,1,1,0,0
3,1,0,853,29,0,1,1,0,0
3,0,0,895,29,1,1,1,0,0
3,0,1,1078,31,0,1,1,0,0
3,0,1,975,31,0,1,1,1,0
0,0,0,861,32,0,1,1,1,0
3,0,0,1150,32,0,1,1,0,0
3,0,0,699,21,1,0,1,0,0
0,0,0,877,30,1,1,1,1,0
3,0,0,813,22,1,1,1,0,0
